INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Lon_Lat,X_COORD_NORM,Y_COORD_NORM,Longitude,Latitude
80576265,09/03/2011,03:47:00,MANHATTAN,9,0,RESTAURANT/DINER,FALSE,25-44,M,BLACK,18-24,M,BLACK HISPANIC,987650.75,203138.515625,POINT (-73.98773233999998 40.72425257300006),-21803.8086374472,-4755.26128244624,-73.98773234000002,40.7242525730001
175189442,01/18/2018,22:35:00,MANHATTAN,13,2,MULTI DWELL - PUBLIC HOUS,FALSE,NA,NA,NA,25-44,M,BLACK,989865.125,209424.8125,POINT (-73.97973814999995 40.74150578800004),-19589.4336374472,1531.03559255376,-73.97973815000003,40.741505788
217410680,09/03/2020,02:40:00,MANHATTAN,25,0,NA,FALSE,45-64,M,BLACK,45-64,M,BLACK,989173.5625,209955.953125,POINT (-73.98223340199996 40.74296404900008),-20280.9961374472,2062.17621755376,-73.98223340200003,40.7429640490001
170435757,10/15/2017,04:55:00,MANHATTAN,7,0,NA,FALSE,25-44,M,WHITE HISPANIC,25-44,F,WHITE,987590.875,201575.71875,POINT (-73.98794913099994 40.719963095000026),-21863.6836374472,-6318.05815744624,-73.98794913099991,40.719963095
87931467,12/01/2012,04:09:00,MANHATTAN,10,0,NA,FALSE,<18,M,BLACK,25-44,F,BLACK,985697,211733.984375,POINT (-73.99477916399997 40.74784555200006),-23757.5586374472,3840.20746755376,-73.99477916400002,40.74784555200009
65010708,08/23/2009,04:29:00,MANHATTAN,9,0,NA,FALSE,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,989622.9375,205257.125,POINT (-73.98061545999997 40.730066663000066),-19831.6211374472,-2636.65190744624,-73.98061546000002,40.730066663000095
109576337,04/14/2014,20:14:00,MANHATTAN,5,0,NA,FALSE,<18,M,BLACK,<18,M,BLACK,988026.3125,210001.109375,POINT (-73.98637354699997 40.74308855500004),-21428.2461374472,2107.33246755376,-73.98637354700003,40.743088555
85657851,07/09/2012,02:05:00,MANHATTAN,10,0,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,18-24,M,BLACK,984002.6875,211785.203125,POINT (-74.00089401199995 40.747986249000064),-25451.8711374472,3891.42621755376,-74.00089401200003,40.7479862490001
169761148,09/26/2017,16:20:00,MANHATTAN,13,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK HISPANIC,<18,M,WHITE HISPANIC,989865.125,209424.8125,POINT (-73.97973814999995 40.74150578800004),-19589.4336374472,1531.03559255376,-73.97973815000003,40.741505788
79508633,06/26/2011,05:00:00,MANHATTAN,13,0,BAR/NIGHT CLUB,FALSE,NA,NA,NA,25-44,M,WHITE,988112.5625,206263.3125,POINT (-73.98606443599994 40.73282919000008),-21341.9961374472,-1630.46440744624,-73.98606443599992,40.73282919000009
73300652,06/18/2010,03:58:00,MANHATTAN,6,0,NA,FALSE,25-44,M,BLACK HISPANIC,18-24,M,BLACK,986159.8125,205842.328125,POINT (-73.99311052599995 40.731674328000054),-23294.7461374472,-2051.44878244624,-73.99311052600001,40.73167432800009
74279270,08/22/2010,03:57:00,MANHATTAN,9,0,BAR/NIGHT CLUB,TRUE,NA,NA,NA,25-44,M,BLACK,987241.5,203954.140625,POINT (-73.98920845599997 40.726491414000066),-22213.0586374472,-3939.63628244624,-73.98920845600001,40.726491414000094
146877501,10/12/2015,04:03:00,MANHATTAN,13,0,NA,TRUE,25-44,M,BLACK,18-24,F,BLACK,987111.5625,208704.234375,POINT (-73.98967523599998 40.739529299000026),-22342.9961374472,810.457467553759,-73.98967523600002,40.739529299
86830936,09/16/2012,02:21:00,MANHATTAN,1,0,NA,FALSE,18-24,M,WHITE HISPANIC,<18,M,WHITE,984770.8125,203480.484375,POINT (-73.99812245099997 40.72519183300005),-24683.7461374472,-4413.29253244624,-73.99812245100001,40.72519183300009
208071994,01/16/2020,15:21:00,MANHATTAN,9,0,NA,FALSE,18-24,M,BLACK,25-44,M,BLACK,990662.3125,204061.984375,POINT (-73.97686644999999 40.726785601000074),-18792.2461374472,-3831.79253244624,-73.97686645000003,40.7267856010001
16631460,05/23/2006,23:03:00,MANHATTAN,10,0,BAR/NIGHT CLUB,TRUE,25-44,M,BLACK,18-24,M,BLACK,982499.4375,211690.828125,POINT (-74.00631929199994 40.747727043000054),-26955.1211374472,3797.05121755376,-74.00631929199992,40.74772704300008
24516762,09/26/2006,14:38:00,MANHATTAN,10,0,NA,FALSE,18-24,M,BLACK,25-44,M,WHITE HISPANIC,984459.5625,212286.78125,POINT (-73.99924511099994 40.74936295600003),-24994.9961374472,4393.00434255376,-73.99924511099992,40.74936295599999
157639146,10/16/2016,00:49:00,MANHATTAN,13,0,NA,FALSE,45-64,M,BLACK,25-44,M,BLACK,985716.0625,209910.578125,POINT (-73.99471076399993 40.74284075500003),-23738.4961374472,2016.80121755376,-73.99471076399995,40.74284075500001
57325752,02/16/2009,05:24:00,MANHATTAN,6,0,RESTAURANT/DINER,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,986175.9375,205173.171875,POINT (-73.99305253499995 40.72983765400005),-23278.6211374472,-2720.60503244624,-73.99305253500002,40.7298376540001
73725992,07/18/2010,05:03:00,MANHATTAN,1,0,BAR/NIGHT CLUB,TRUE,18-24,M,BLACK,25-44,M,BLACK,982190,203997,POINT (-74.00743370699996 40.726609317000054),-27264.5586374472,-3896.77690744624,-74.00743370700003,40.7266093170001
201575315,08/26/2019,03:23:00,MANHATTAN,5,2,MULTI DWELL - PUBLIC HOUS,FALSE,NA,NA,NA,18-24,M,WHITE HISPANIC,986929.125,202081.515625,POINT (-73.99033621399997 40.721351611000046),-22525.4336374472,-5812.26128244624,-73.99033621400002,40.721351610999996
75258713,10/26/2010,20:56:00,MANHATTAN,7,0,NA,FALSE,18-24,M,WHITE HISPANIC,45-64,F,BLACK HISPANIC,988900.625,201538,POINT (-73.98322419099999 40.71985897500008),-20553.9336374472,-6355.77690744624,-73.98322419100003,40.7198589750001
187133718,08/31/2018,23:16:00,MANHATTAN,13,0,NA,FALSE,25-44,F,BLACK,25-44,M,BLACK,989738.375,209197.015625,POINT (-73.98019573899995 40.74088062200008),-19716.1836374472,1303.23871755376,-73.98019573900002,40.74088062200009
214690556,06/26/2020,00:30:00,MANHATTAN,13,0,NA,FALSE,25-44,M,BLACK,18-24,F,WHITE HISPANIC,987583.4375,210248,POINT (-73.98797166599996 40.74376638700005),-21871.1211374472,2354.22309255376,-73.98797166600004,40.7437663870001
194525843,03/10/2019,05:38:00,MANHATTAN,13,0,NA,FALSE,25-44,M,WHITE HISPANIC,45-64,M,BLACK,990300,209478,POINT (-73.97816876899998 40.74165148800006),-19154.5586374472,1584.22309255376,-73.97816876900002,40.7416514880001
75258713,10/26/2010,20:56:00,MANHATTAN,7,0,NA,FALSE,18-24,M,WHITE HISPANIC,45-64,M,BLACK HISPANIC,988900.625,201538,POINT (-73.98322419099999 40.71985897500008),-20553.9336374472,-6355.77690744624,-73.98322419100003,40.7198589750001
67390154,11/01/2009,01:30:00,MANHATTAN,6,0,NA,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,983797.25,207177.578125,POINT (-74.00163513599995 40.73533945600008),-25657.3086374472,-716.198782446241,-74.00163513600003,40.7353394560001
141042044,02/18/2015,01:29:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,18-24,M,BLACK,982756.375,210140,POINT (-74.00539165099997 40.743470456000075),-26698.1836374472,2246.22309255376,-74.00539165100002,40.74347045600009
46361466,05/10/2008,04:10:00,MANHATTAN,9,0,BAR/NIGHT CLUB,FALSE,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,987633.125,203879.625,POINT (-73.98779555399994 40.72628674600003),-21821.4336374472,-4014.15190744624,-73.98779555399992,40.72628674599999
148364099,12/08/2015,04:11:00,MANHATTAN,6,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,982967.625,208665.484375,POINT (-74.00462900999997 40.739423309000074),-26486.9336374472,771.707467553759,-74.00462901000003,40.739423309000095
86437458,08/24/2012,09:04:00,MANHATTAN,14,0,COMMERCIAL BLDG,TRUE,45-64,M,WHITE,25-44,M,WHITE,987978.9375,211938.515625,POINT (-73.98654344099998 40.748406271000086),-21475.6211374472,4044.73871755376,-73.98654344100001,40.74840627100009
74044370,08/07/2010,23:03:00,MANHATTAN,9,0,NA,FALSE,18-24,M,BLACK,25-44,M,BLACK,987360.6875,206352.28125,POINT (-73.98877733299999 40.73307368400003),-22093.8711374472,-1541.49565744624,-73.98877733300002,40.733073684
16631460,05/23/2006,23:03:00,MANHATTAN,10,0,BAR/NIGHT CLUB,TRUE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,982499.4375,211690.828125,POINT (-74.00631929199994 40.747727043000054),-26955.1211374472,3797.05121755376,-74.00631929199992,40.74772704300008
156246000,08/27/2016,00:18:00,MANHATTAN,13,0,MULTI DWELL - APT BUILD,FALSE,45-64,M,BLACK HISPANIC,45-64,F,ASIAN / PACIFIC ISLANDER,986463.875,208226.625,POINT (-73.99201263199996 40.73821856500007),-22990.6836374472,332.848092553759,-73.99201263200003,40.738218565000096
